,Tableau 29,,,,,,
,,Répartition des mineurs détenus par établissement,,,,,
,Champ : Métropole et Outre-Mer,,,,,,
Effectif au :,1er janvier 2021,,,,,,
,Source : DAP - SDEX - Ex3 - Traitement infocentre pénitentiaire GENESIS,,,,,,
,,,,,Jeunes majeurs sur des,,
,,,Mineurs écroués,Mineurs écroués,,,
,,,,,places mineurs,,Taux d'occupation des
,Direction Interrégionale,Etablissement,détenus sur des places,détenus hors places,,Places mineurs,
,,,,,(uniquement pour les,,places mineurs
,,,mineurs,mineurs,,,
,,,,,EPM),,
,DISP BORDEAUX,CP BORDEAUX GRADIGNAN,25,0,0,23,108.7%
,DISP BORDEAUX,MA ANGOULEME,5,0,0,9,55.6%
,DISP BORDEAUX,MA LIMOGES,2,0,0,10,20.0%
,DISP BORDEAUX,MA PAU,4,0,0,5,80.0%
,DISP BORDEAUX,Total Direction Interrégionale,36,0,0,47,76.6%
,DISP DIJON,CP VARENNES LE GRAND,7,0,0,15,46.7%
,DISP DIJON,CSL BESANCON,0,0,0,1,0.0%
,DISP DIJON,MA BESANCON,4,0,0,20,20.0%
,DISP DIJON,MA BOURGES,0,0,0,4,0.0%
,DISP DIJON,MA DIJON,6,0,0,11,54.5%
,DISP DIJON,MA TOURS,7,0,0,10,70.0%
,DISP DIJON,Total Direction Interrégionale,24,0,0,61,39.3%
,DISP LILLE,CP LAON,6,0,0,15,40.0%
,DISP LILLE,CP LIANCOURT,13,0,0,20,65.0%
,DISP LILLE,CP LONGUENESSE,5,0,0,20,25.0%
,DISP LILLE,EPM QUIEVRECHAIN,46,0,1,59,79.7%
,DISP LILLE,Total Direction Interrégionale,70,0,1,114,62.3%
,DISP LYON,CP GRENOBLE VARCES,12,0,0,20,60.0%
,DISP LYON,CP MOULINS YZEURE,,0,0,8,112.5%
,DISP LYON,EPM RHONE,37,0,2,60,65.0%
,DISP LYON,MA BONNEVILLE,3,0,0,18,16.7%
,DISP LYON,MA LYON CORBAS,0,8,0,0,--
,DISP LYON,Total Direction Interrégionale,61,8,2,106,59.4%
,DISP MARSEILLE,CP AIX LUYNES,22,0,0,26,84.6%
,DISP MARSEILLE,CP AVIGNON LE PONTET,10,0,0,20,50.0%
,DISP MARSEILLE,CP BORGO,0,0,0,4,0.0%
,DISP MARSEILLE,CP MARSEILLE,8,0,0,9,88.9%
,DISP MARSEILLE,EPM MARSEILLE,38,0,0,59,64.4%
,DISP MARSEILLE,MA GRASSE,11,0,0,31,35.5%
,DISP MARSEILLE,Total Direction Interrégionale,89,0,0,149,59.7%
,DISP PARIS,CP FRESNES,0,9,0,0,--
,DISP PARIS,CP NANTERRE,21,0,0,18,116.7%
,DISP PARIS,EPM PORCHEVILLE,52,0,1,59,89.8%
,DISP PARIS,MA FLEURY MEROGIS,68,0,0,115,59.1%
,DISP PARIS,MA VILLEPINTE,34,0,0,40,85.0%
,DISP PARIS,Total Direction Interrégionale,175,9,1,232,75.9%
,DISP RENNES,CP LE HAVRE,8,0,0,15,53.3%
,DISP RENNES,CP NANTES,0,1,0,0,--
,DISP RENNES,CP RENNES,2,0,0,6,33.3%
,DISP RENNES,CP RENNES VEZIN,0,3,0,0,--
,DISP RENNES,EPM ORVAULT,41,0,0,55,74.5%
,DISP RENNES,MA BREST,7,0,0,10,70.0%
,DISP RENNES,MA CAEN,9,0,0,10,90.0%
,DISP RENNES,MA ROUEN,17,0,0,27,63.0%
,DISP RENNES,Total Direction Interrégionale,84,4,0,123,68.3%
,DISP STRASBOURG,CP METZ,13,0,0,14,92.9%
,DISP STRASBOURG,CSL MAXEVILLE,1,0,0,2,50.0%
,DISP STRASBOURG,CSL SOUFFELWEYERSHEIM,0,0,0,2,0.0%
,DISP STRASBOURG,MA CHAUMONT,3,0,0,10,30.0%
,DISP STRASBOURG,MA EPINAL,9,0,0,14,64.3%
,DISP STRASBOURG,MA MULHOUSE,14,0,0,19,73.7%
,DISP STRASBOURG,MA REIMS,8,0,0,10,80.0%
,DISP STRASBOURG,MA STRASBOURG,17,0,0,19,89.5%
,DISP STRASBOURG,Total Direction Interrégionale,65,0,0,90,72.2%
,DISP TOULOUSE,CP PERPIGNAN,12,0,0,12,100.0%
,,CP VILLENEUVE LES,,,,,
,DISP TOULOUSE,,15,0,0,20,75.0%
,,MAGUELONE,,,,,
,DISP TOULOUSE,EPM LAVAUR,47,0,2,58,84.5%
,DISP TOULOUSE,Total Direction Interrégionale,74,0,2,90,84.4%
,MOM,CP BAIE MAHAULT,5,0,0,15,33.3%
,MOM,CP DUCOS,5,0,0,17,29.4%
,MOM,CP FAAA NUUTANIA,0,0,0,6,0.0%
,MOM,CP MAJICAVO,11,0,0,30,"36,7%"
,MOM,CP NOUMEA,13,0,0,18,72.2%
,MOM,CP REMIRE MONTJOLY,7,0,0,11,63.6%
,MOM,CP ST DENIS,12,0,0,40,30.0%
,MOM,CP ST PIERRE ET MIQUELON,0,0,0,2,0.0%
,MOM,Total Direction Interrégionale,53,0,0,112,"38,1%"
,Total,France entière,731,21,6,1151,64.0%
,,"Certains mineurs écroués peuvent être temporairement hébergés en dehors des places mineurs pour des raisons de santé : ils peuvent alors être placés en centre hospitalier,  en unité hospitalière",,,,,
,,"sécurisée interrégionale (UHSI), en unité hospitalière spécialement aménagée (UHSA), en service médico-psychologique régional (SMPR) ou en établissement public de santé national (EPSN).",,,,,
