,,Mineurs,,,,
,,écroués,Mineurs,Jeunes majeurs,,
,,détenus,écroués,sur des places,,Taux
,,sur des,détenus,mineurs,,d’occupation
Direction,,places,hors places,(uniquement,Places,des places
Interrégionale,Etablissement,mineurs,mineurs,pour les EPM),mineurs,mineurs
DISP,CP BORDEAUX,18,0,0,23,78.3%
BORDEAUX,GRADIGNAN,,,,,
DISP,MA ANGOULEME,6,0,0,9,66.7%
BORDEAUX,,,,,,
DISP,MA LIMOGES,2,0,0,10,20.0%
BORDEAUX,,,,,,
DISP,MA PAU,2,0,0,5,40.0%
BORDEAUX,,,,,,
DISP,Total Direction,28,0,0,47,59.6%
BORDEAUX,Interrégionale,,,,,
DISP DIJON,CP VARENNES LE,4,0,0,16,25.0%
,GRAND,,,,,
DISP DIJON,CSL BESANCON,0,0,0,1,0.0%
DISP DIJON,MA BESANCON,8,0,0,20,40.0%
DISP DIJON,MA BOURGES,2,0,0,4,50.0%
DISP DIJON,MA DIJON,2,0,0,11,18.2%
DISP DIJON,MA TOURS,3,0,0,10,30.0%
DISP DIJON,Total Direction,19,0,0,62,30.6%
,Interrégionale,,,,,
DISP LILLE,CP LAON,4,0,0,14,28.6%
DISP LILLE,CP LIANCOURT,8,0,0,20,40.0%
1 2,Effectifs mineurs garçons et filles confondus.,,,,,
,Certains mineurs écroués peuvent être temporairement hébergés en dehors des places mineurs pour des,,,,,
