district,hour,actives,etudiantes,sansemploi,retraitee,inactives
1,4am,56.8361,8.702,3.7367,26.1451,4.58
1,5am,56.6991,8.7297,3.7486,26.2281,4.5946
1,6am,56.5234,8.7651,3.7638,26.3345,4.6132
1,7am,55.5086,7.5536,4.0052,28.0236,4.9091
1,8am,52.4606,8.3322,4.1686,29.9369,5.1017
1,9am,52.1807,8.0849,4.1722,30.2752,5.287
1,10am,50.5238,8.4551,4.274,31.3311,5.416
1,11am,50.5082,7.2305,4.3698,31.5746,6.3168
1,12am,52.1776,6.6197,4.3778,31.1271,5.6979
1,1pm,54.8185,5.6215,4.2925,29.98,5.2874
1,2pm,53.5283,7.4585,3.6372,30.0726,5.3035
1,3pm,53.55,8.0399,4.0543,28.6348,5.721
1,4pm,52.82,8.3562,4.6451,28.7694,5.4093
1,5pm,51.8647,7.8623,4.92,29.4867,5.8664
1,6pm,52.6178,10.3272,4.5085,27.0206,5.5259
1,7pm,54.7088,9.125,4.5011,26.8433,4.8219
1,8pm,57.1836,8.7286,4.2544,25.3723,4.461
1,9pm,57.1031,8.5572,4.2859,25.5599,4.494
1,10pm,56.5789,8.1181,4.394,26.3015,4.6074
1,11pm,56.2533,8.179,4.4269,26.4988,4.642
1,12pm,57.7066,7.3962,4.3435,25.9993,4.5545
1,1am,57.7066,7.3962,4.3435,25.9993,4.5545
1,2am,57.3461,7.9747,4.3164,25.8368,4.526
1,3am,57.6109,7.9252,4.2896,25.6764,4.4979
2,4am,56.0454,10.7764,0.7775,29.3351,3.0656
2,5am,56.0454,10.7764,0.7775,29.3351,3.0656
2,6am,56.876,10.5728,0.7628,28.7807,3.0077
2,7am,58.1661,9.8692,0.7669,28.1742,3.0237
2,8am,59.6364,3.625,0.8865,33.1513,2.7009
2,9am,57.258,3.1117,1.0044,35.5659,3.0601
2,10am,60.6863,2.1982,0.9837,33.1347,2.9971
2,11am,60.1935,2.0502,0.9175,34.8659,1.9728
2,12am,57.8004,3.4095,0.9582,34.9126,2.9193
2,1pm,59.0019,4.0493,0.7907,32.5471,3.611
2,2pm,56.4409,4.6458,0.8354,35.2217,2.8562
2,3pm,62.7307,2.3408,0.9045,31.8706,2.1534
2,4pm,59.4916,2.5589,0.9888,35.6332,1.3274
2,5pm,56.2352,5.2779,0.8895,33.1866,4.4106
2,6pm,50.3926,10.3392,0.8315,34.6398,3.797
2,7pm,56.7486,8.9359,0.8207,30.2585,3.2362
2,8pm,59.6182,7.7524,0.7969,28.6904,3.1421
2,9pm,58.5843,7.0991,0.8038,30.3435,3.1693
2,10pm,56.2953,10.4242,0.7795,29.4273,3.0737
2,11pm,56.9266,9.434,0.7879,29.7447,3.1068
2,12pm,58.0267,9.7219,0.7554,28.5174,2.9786
2,1am,58.0354,9.7234,0.7555,28.5067,2.9791
2,2am,56.9642,10.5511,0.7612,28.7219,3.0015
2,3am,56.9642,10.5511,0.7612,28.7219,3.0015
3,4am,62.5988,10.4239,2.4862,23.158,1.3332
3,5am,62.5988,10.4239,2.4862,23.158,1.3332
3,6am,62.2878,10.5106,2.5069,23.3505,1.3442
3,7am,62.203,9.9261,2.0233,24.392,1.4557
3,8am,58.5866,5.9923,2.6439,30.875,1.9022
3,9am,51.166,4.7302,3.7979,38.0537,2.2523
3,10am,49.8058,3.6842,5.055,39.116,2.339
3,11am,49.3032,3.788,5.1975,39.3064,2.4049
3,12am,47.8524,3.9947,4.7295,40.8873,2.5361
3,1pm,50.6382,4.7237,4.1945,40.4436,0
3,2pm,52.6092,4.8839,4.1518,38.3551,0
3,3pm,53.8097,4.5175,4.2872,37.3855,0
3,4pm,51.3807,4.686,4.4471,37.0376,2.4485
3,5pm,49.3209,5.6624,3.884,38.9941,2.1385
3,6pm,58.4791,7.4797,2.4498,31.5913,0
3,7pm,61.9108,10.1245,1.3585,25.1215,1.4848
3,8pm,60.4973,11.4896,1.78,25.5351,0.6979
3,9pm,63.484,10.4366,1.6169,23.8286,0.634
3,10pm,64.262,10.6972,1.2518,23.1393,0.6498
3,11pm,63.5795,10.4995,1.8664,22.7117,1.3428
3,12pm,63.5758,10.3199,2.4614,22.3231,1.3199
3,1am,63.9163,10.0567,2.3986,22.3422,1.2862
3,2am,63.9163,10.0567,2.3986,22.3422,1.2862
3,3am,63.9163,10.0567,2.3986,22.3422,1.2862
4,4am,57.2852,9.6217,4.0832,26.8137,2.1963
