ID;Jour;Heure;Mode;Direction;Frequence;Motif_deplacement;Motif_dep_commentaires;Raison_plus_direct_plus_pratique;Raison_plus_agreable;Raison_moins_voiture;Raison_habitude;Raison_autre;Raison_autre_commentaire_libre;Sentiment_securite;Perception_risque_collision_pietons_cyclistes;Confort_rarement_gene_autres_usagers;Confort_lisibilite_positionnement;Perception_tensions;Cohabitation_agreable;Explication_ressenti_raison_1;Explication_ressenti_raison_2;Explication_ressenti_raison_3;Explication_ressenti_raison_4;Explication_ressenti_raison_5;Situations_evitement_axe;Evitement_quand;Evitement_pourquoi;Usagers_genants_cyclistes;Usagers_genants_livreurs_velo;Usagers_genants_pietons;Usagers_genants_trottinettes;Usagers_genants_voitures;Usagers_genants_camionnettes;Usagers_genants_autres;Usagers_genants_autres_commentaire_libre;Qualificatif_1;Qualificatif_2;Qualificatif_3;Genre;Age
P1;29/04/25;8:13;pietons;vers gallia;tous les jours;travail/etudes;;oui;null;null;null;null;;tout a fait d'accord;plutot d'accord;plutot pas d'accord;plutot d'accord;plutot d'accord;pas du tout d'accord;comportement - ;aggresivite cyclistes;;;;non;;;null;null;null;null;null;null;null;;agreable;attention ;;femme;40-60
P2;29/04/25;8:14;pietons;sans reponse;sans reponse;sans reponse;;null;oui;null;null;null;;pas du tout d'accord;pas du tout d'accord;pas du tout d'accord;pas du tout d'accord;plutot d'accord;plutot pas d'accord;densite frequentation - ;trop de monde en general;absence de separation;;;non;;;null;null;null;null;null;null;null;;beau;dangereux;;femme;20-40
P3;29/04/25;8:14;pietons;vers corbeau;toutes les semaines;activites/loisirs;;oui;null;null;null;null;;plutot d'accord;plutot d'accord;plutot d'accord;plutot pas d'accord;plutot d'accord;plutot d'accord;amenagement +;amenagements bien adaptes;espace assez large;;;non;;;null;null;null;null;null;null;null;;aerer;moderne;charmant;homme;moins de 20
P4;29/04/25;8:15;pietons;vers corbeau;tous les jours;travail/etudes;;oui;null;null;null;null;;pas du tout d'accord;tout a fait d'accord;tout a fait d'accord;tout a fait d'accord;plutot d'accord;tout a fait d'accord;amenagement - ;absence de separation;;;;non;;;null;null;null;null;null;null;null;;;;;homme;40-60
P5;29/04/25;8:15;pietons;vers corbeau;tous les jours;autre;ecole a proximite;oui;null;null;null;null;;tout a fait d'accord;pas du tout d'accord;pas du tout d'accord;tout a fait d'accord;pas du tout d'accord;plutot d'accord;comportement - ;comportement derangeant cyclistes;;;;oui;samedi;trop frequente;oui;null;oui;null;null;oui;null;;apaise;trop de velos;;femme;20-40
P6;29/04/25;8:18;pietons;vers corbeau;premiere fois;promenade;;oui;null;null;null;null;;tout a fait d'accord;sans reponse;plutot d'accord;plutot pas d'accord;ne sait pas;tout a fait d'accord;amenagement - ;absence de separation;;;;non-concerne;;;null;null;null;null;null;null;null;;securite;cohabitation;exemplaire;femme;40-60
P7;29/04/25;8:20;pietons;vers gallia;tous les jours;travail/etudes;;null;null;null;oui;null;;plutot pas d'accord;tout a fait d'accord;tout a fait d'accord;tout a fait d'accord;tout a fait d'accord;plutot pas d'accord;comportement - ;comportement derangeant cyclistes;vitesse cyclistes;;;non;;;oui;oui;null;null;null;null;null;;desagreable;risque;conflictuelle;homme;40-60
P8;29/04/25;8:20;pietons;vers corbeau;tous les jours;travail/etudes;;oui;null;null;null;null;;pas du tout d'accord;tout a fait d'accord;tout a fait d'accord;tout a fait d'accord;tout a fait d'accord;pas du tout d'accord;comportement - ;comportement derangeant cyclistes;vitesse cyclistes;;;oui;;tourisme;null;null;null;null;null;null;null;;dangereux;mauvais;inconscient;ne sait pas;40-60
P9;29/04/25;8:21;pietons;vers corbeau;tous les jours;activites/loisirs;;null;null;null;null;null;;plutot pas d'accord;tout a fait d'accord;plutot d'accord;tout a fait d'accord;tout a fait d'accord;plutot pas d'accord;;;;;;non;;;null;null;null;null;null;null;null;;vitesse;hors limite ;;femme;60 et plus
P10;29/04/25;8:25;pietons;vers corbeau;tous les jours;travail/etudes;;null;null;null;null;oui;ecole a proximite;plutot d'accord;plutot d'accord;plutot pas d'accord;plutot d'accord;plutot d'accord;plutot d'accord;comportement - ;vitesse cyclistes;pietons trop lents;trop de cyclistes;;non;;;null;null;null;null;null;null;null;;agreable;pas serein;;femme;40-60
P11;29/04/25;8:25;pietons;sans reponse;tous les jours;travail/etudes;;oui;null;null;null;null;;tout a fait d'accord;pas du tout d'accord;pas du tout d'accord;ne sait pas;pas du tout d'accord;tout a fait d'accord;amenagement +;espace assez large;;;;non;;;null;null;null;null;null;null;null;;agreable;calme;;femme;40-60
P12;29/04/25;8:30;pietons;sans reponse;tous les jours;promenade;;null;oui;null;null;null;;tout a fait d'accord;ne sait pas;pas du tout d'accord;tout a fait d'accord;plutot pas d'accord;tout a fait d'accord;comportement + ;bon equilibre pietons cyclistes;;;;non;;;null;null;null;null;null;null;null;;tres agreable;tres respectueuse;;femme;60 et plus
P13;29/04/25;8:30;pietons;vers gallia;tous les jours;promenade;;null;oui;null;null;null;;plutot d'accord;tout a fait d'accord;tout a fait d'accord;tout a fait d'accord;pas du tout d'accord;tout a fait d'accord;densite frequentation - ;probleme avec les voitures;;;;non;;;null;null;null;null;null;null;null;;magnifique;dangereux;pas calme;femme;60 et plus
P14;29/04/25;8:30;pietons;vers corbeau;tous les jours;travail/etudes;;oui;null;null;null;null;;plutot pas d'accord;plutot d'accord;sans reponse;plutot d'accord;tout a fait d'accord;plutot pas d'accord;comportement - ;comportement derangeant cyclistes;;;;non;;;null;null;null;null;null;null;null;;ameliore;a reguler;;ne sait pas;40-60
P15;29/04/25;8:30;pietons;sans reponse;tous les jours;travail/etudes;;oui;null;null;null;null;;plutot pas d'accord;plutot d'accord;plutot d'accord;plutot pas d'accord;tout a fait d'accord;pas du tout d'accord;densite frequentation - ;trop de monde en general;probleme avec les voitures;absence de separation;;oui;apres-midi;;null;null;null;null;null;null;null;;rapide;dangereux ;imprevu;femme;40-60
P16;29/04/25;8:35;pietons;vers gallia;sans reponse;sans reponse;;null;oui;null;null;null;;tout a fait d'accord;pas du tout d'accord;pas du tout d'accord;tout a fait d'accord;pas du tout d'accord;plutot d'accord;;;;;;oui;;;null;null;null;null;null;null;null;;securise;agreable;;femme;ne sait pas 
P17;29/04/25;8:35;pietons;vers gallia;tous les jours;travail/etudes;;oui;null;null;null;null;;plutot d'accord;plutot d'accord;pas du tout d'accord;tout a fait d'accord;plutot d'accord;plutot pas d'accord;amenagement - ;absence de separation;;;;non;;;null;null;null;null;null;null;null;;agreable;ameliorable;;femme;40-60
P18;29/04/25;8:35;pietons;vers gallia;tous les jours;travail/etudes;;oui;null;null;null;null;;pas du tout d'accord;tout a fait d'accord;tout a fait d'accord;tout a fait d'accord;pas du tout d'accord;pas du tout d'accord;comportement - ;vitesse cyclistes;comportement derangeant cyclistes;manque de signaletique;;oui;le matin ;trop de cyclistes;oui;oui;null;null;oui;null;null;;stressant;peuple;;femme;40-60
P19;29/04/25;8:40;pietons;vers gallia;tous les jours;travail/etudes;;oui;null;null;null;null;;pas du tout d'accord;tout a fait d'accord;tout a fait d'accord;plutot d'accord;tout a fait d'accord;pas du tout d'accord;comportement - ;vitesse cyclistes;probleme avec les vehicule electrique (trotinettes,velos);;;non;;;null;null;null;null;null;null;null;;insecurite;risque ;les enfants ont peur;femme;ne sait pas 
P20;29/04/25;8:40;pietons;vers corbeau;tous les jours;travail/etudes;;oui;null;null;null;null;;tout a fait d'accord;pas du tout d'accord;pas du tout d'accord;tout a fait d'accord;plutot pas d'accord;pas du tout d'accord;densite frequentation +;bon equilibre pietons cyclistes;;;;non;;;null;null;null;null;null;null;null;;attention;habitue;surveillance;homme;40-60
P21;29/04/25;8:41;pietons;vers gallia;tous les jours;travail/etudes;;oui;null;null;null;null;;plutot pas d'accord;tout a fait d'accord;plutot pas d'accord;tout a fait d'accord;plutot d'accord;plutot pas d'accord;comportement - ;comportement derangeant cyclistes;;;;non;;;null;null;null;null;null;null;null;;far-west;;;homme;60 et plus
P22;29/04/25;8:45;pietons;vers corbeau;tous les jours;travail/etudes;;null;oui;null;null;null;;tout a fait d'accord;pas du tout d'accord;pas du tout d'accord;tout a fait d'accord;tout a fait d'accord;tout a fait d'accord;comportement + ;bon equilibre pietons cyclistes;;;;non;;;null;null;null;null;null;null;null;;magnifique;calme;amical;homme;moins de 20
P23;29/04/25;8:45;pietons;vers corbeau;tous les jours;travail/etudes;;null;oui;null;null;null;;tout a fait d'accord;plutot pas d'accord;plutot pas d'accord;plutot pas d'accord;pas du tout d'accord;tout a fait d'accord;amenagement +;amenagements bien adaptes;;;;non;;;null;null;null;null;null;null;null;;reussi;agreable;vivant;homme;40-60
P24;29/04/25;8:50;pietons;vers corbeau;toutes les semaines;promenade;;null;oui;null;oui;null;;pas du tout d'accord;plutot d'accord;pas du tout d'accord;tout a fait d'accord;pas du tout d'accord;ne sait pas;comportement - ;aggresivite cyclistes;comportement derangeant cyclistes;;;non;;;null;null;null;null;null;null;null;;nouveau;;;femme;60 et plus
